Index,Operator,Input shape,Output shape,Execution,MACs
0,QUANTIZE,1×224×224×3,1×224×224×3,Scaffold,0
1,CONV_2D,1×224×224×3,1×112×112×32,RTL,10838016
2,DEPTHWISE_CONV_2D,1×112×112×32,1×112×112×32,RTL,3612672
3,CONV_2D,1×112×112×32,1×112×112×64,RTL,25690112
4,PAD,1×112×112×64,1×113×113×64,Scaffold,0
5,DEPTHWISE_CONV_2D,1×113×113×64,1×56×56×64,RTL,1806336
6,CONV_2D,1×56×56×64,1×56×56×128,RTL,25690112
7,DEPTHWISE_CONV_2D,1×56×56×128,1×56×56×128,RTL,3612672
8,CONV_2D,1×56×56×128,1×56×56×128,RTL,51380224
9,PAD,1×56×56×128,1×57×57×128,Scaffold,0
10,DEPTHWISE_CONV_2D,1×57×57×128,1×28×28×128,RTL,903168
11,CONV_2D,1×28×28×128,1×28×28×256,RTL,25690112
12,DEPTHWISE_CONV_2D,1×28×28×256,1×28×28×256,RTL,1806336
13,CONV_2D,1×28×28×256,1×28×28×256,RTL,51380224
14,PAD,1×28×28×256,1×29×29×256,Scaffold,0
15,DEPTHWISE_CONV_2D,1×29×29×256,1×14×14×256,RTL,451584
16,CONV_2D,1×14×14×256,1×14×14×512,RTL,25690112
17,DEPTHWISE_CONV_2D,1×14×14×512,1×14×14×512,RTL,903168
18,CONV_2D,1×14×14×512,1×14×14×512,RTL,51380224
19,DEPTHWISE_CONV_2D,1×14×14×512,1×14×14×512,RTL,903168
20,CONV_2D,1×14×14×512,1×14×14×512,RTL,51380224
21,DEPTHWISE_CONV_2D,1×14×14×512,1×14×14×512,RTL,903168
22,CONV_2D,1×14×14×512,1×14×14×512,RTL,51380224
23,DEPTHWISE_CONV_2D,1×14×14×512,1×14×14×512,RTL,903168
24,CONV_2D,1×14×14×512,1×14×14×512,RTL,51380224
25,DEPTHWISE_CONV_2D,1×14×14×512,1×14×14×512,RTL,903168
26,CONV_2D,1×14×14×512,1×14×14×512,RTL,51380224
27,PAD,1×14×14×512,1×15×15×512,Scaffold,0
28,DEPTHWISE_CONV_2D,1×15×15×512,1×7×7×512,RTL,225792
29,CONV_2D,1×7×7×512,1×7×7×1024,RTL,25690112
30,DEPTHWISE_CONV_2D,1×7×7×1024,1×7×7×1024,RTL,451584
31,CONV_2D,1×7×7×1024,1×7×7×1024,RTL,51380224
32,MEAN,1×7×7×1024,1×1×1×1024,Scaffold,0
33,CONV_2D,1×1×1×1024,1×1×1×2,RTL,2048
34,RESHAPE,1×1×1×2,1×2,Scaffold,0
35,SOFTMAX,1×2,1×2,Scaffold,0
36,QUANTIZE,1×2,1×2,Scaffold,0
